customer_id,region,total_spent,total_orders,repeat_purchase_flag
CUST00001,North,75533.48,93,Yes
CUST00002,East,156158.51,21,Yes
CUST00003,East,32042.91,75,Yes
CUST00004,South,67408.01,24,No
CUST00005,East,12225.9,88,No
CUST00006,North,43255.48,64,No
CUST00007,South,123878.82,58,Yes
CUST00008,North,86957.06,49,Yes
CUST00009,West,80572.33,92,No
CUST00010,West,47321.5,62,No
CUST00011,North,40735.08,55,No
CUST00012,West,93885.82,51,No
CUST00013,East,90649.35,18,No
CUST00014,North,193160.77,9,Yes
CUST00015,North,46947.87,92,Yes
CUST00016,North,25285.61,8,Yes
CUST00017,South,181954.76,36,Yes
CUST00018,West,151316.92,6,Yes
CUST00019,East,113972.37,93,No
CUST00020,East,155251.43,34,Yes
CUST00021,East,185405.11,95,No
CUST00022,West,18610.01,87,Yes
CUST00023,West,192273.23,85,Yes
CUST00024,East,54998.46,53,Yes
CUST00025,West,193085.81,60,Yes
CUST00026,North,29043.92,15,Yes
CUST00027,North,4111.64,9,No
CUST00028,South,40544.42,88,Yes
CUST00029,West,40569.64,8,No
CUST00030,West,154482.8,5,No
CUST00031,North,130564.33,28,No
CUST00032,West,125036.33,34,Yes
CUST00033,West,74792.83,62,Yes
CUST00034,South,146191.63,86,No
CUST00035,North,94970.77,47,No
CUST00036,West,152396.22,90,Yes
CUST00037,South,51957.6,27,Yes
CUST00038,South,86080.66,42,Yes
CUST00039,East,41142.12,96,Yes
CUST00040,North,63556.84,96,No
CUST00041,West,28726.96,15,No
CUST00042,West,46530.83,32,Yes
CUST00043,South,139262.2,28,No
CUST00044,East,161815.96,57,Yes
CUST00045,South,91850.38,44,Yes
CUST00046,North,176772.77,92,Yes
CUST00047,West,181458.86,1,Yes
CUST00048,North,85994.45,77,No
CUST00049,West,2383.47,72,Yes
CUST00050,South,97481.16,97,Yes
CUST00051,East,68185.42,79,Yes
CUST00052,East,44534.08,88,No
CUST00053,South,73362.29,58,No
CUST00054,South,51104.68,2,No
CUST00055,West,30469.3,56,Yes
CUST00056,West,122303.3,2,Yes
CUST00057,East,7577.1,96,No
CUST00058,West,48672.82,2,Yes
CUST00059,East,90108.85,70,Yes
CUST00060,South,134754.97,75,Yes
CUST00061,South,49189.83,38,Yes
CUST00062,North,126828.86,70,Yes
CUST00063,South,163469.94,16,No
CUST00064,East,64835.23,70,No
CUST00065,South,171813.4,59,Yes
CUST00066,West,142518.76,19,Yes
CUST00067,East,20139.13,33,Yes
CUST00068,North,104032.52,1,No
CUST00069,South,147308.01,50,No
CUST00070,West,175590.53,99,Yes
CUST00071,East,35816.03,60,Yes
CUST00072,South,199254.49,12,Yes
CUST00073,North,176644.63,9,Yes
CUST00074,North,140371.21,80,No
CUST00075,West,177530.2,33,Yes
CUST00076,West,17743.85,72,No
CUST00077,South,134128.66,99,Yes
CUST00078,West,188086.56,25,Yes
CUST00079,North,33000.8,82,Yes
CUST00080,South,90236.4,61,Yes
CUST00081,South,142723.67,33,Yes
CUST00082,East,36585.72,8,No
CUST00083,West,131864.97,33,Yes
CUST00084,North,102254.0,86,Yes
CUST00085,North,49553.94,38,No
