order_id,order_date,delivery_date,customer_id,seller_id,region,product_category,payment_method,order_value,discount_percent,final_price,quantity,delivery_status,refund_flag,delivery_time_days,customer_rating,satisfaction_score,logistics_partner,delay_reason,repeat_purchase_flag
ORD000001,2025-08-10,2025-08-19,CUST00132,SELL0393,North,Electronics,COD,15662.12,46.36,8401.16,3,Delivered,No,9,1.1,6.6,Shopee Express,Logistics Issue,Yes
ORD000002,2025-09-04,2025-09-09,CUST01398,SELL0052,East,Groceries,UPI,14709.16,30.76,10184.62,1,Delivered,No,5,4.2,23.7,Shopee Express,Incorrect Address,No
ORD000003,2025-08-23,2025-09-04,CUST04758,SELL0292,South,Fashion,UPI,3816.25,5.81,3594.53,1,Shipped,No,12,4.1,25.3,Shopee Express,Weather,Yes
ORD000004,2025-06-15,2025-06-27,CUST05849,SELL0360,East,Electronics,Credit Card,11681.9,31.63,7986.92,1,Delivered,No,12,4.3,24.4,BlueDart,Logistics Issue,No
ORD000005,2025-05-01,2025-05-14,CUST04135,SELL0011,West,Electronics,COD,12237.55,47.45,6430.83,4,Delivered,No,13,4.5,74.9,XpressBees,Weather,No
ORD000006,2025-03-03,2025-03-05,CUST05258,SELL0204,South,Fashion,UPI,9153.32,4.54,8737.76,2,Delivered,No,2,2.1,36.8,Delhivery,None,Yes
ORD000007,2025-08-15,2025-08-27,CUST05531,SELL0341,East,Electronics,Debit Card,-50.0,3.07,420.96,1,Delivered,No,12,1.2,92.0,Ecom Express,Logistics Issue,Yes
ORD000008,2025/07/21,2025-07-29,CUST00850,SELL0207,North,Sports,COD,2109.91,42.84,1206.02,1,Delivered,No,8,3.3,2.9,XpressBees,Weather,No
ORD000009,2025-06-17,2025-06-21,CUST04638,SELL0123,East,Fashion,UPI,11490.74,28.42,8225.07,1,Returned,No,4,2.0,35.8,Delhivery,None,No
ORD000010,2025-08-07,2025-08-14,CUST02445,SELL0474,West,Electronics,Debit Card,10290.12,9.13,9350.63,1,Cancelled,No,7,3.3,99.9,BlueDart,Weather,No
ORD000011,2025-09-19,2025-09-27,CUST01926,SELL0135,North,Groceries,UPI,15739.78,5.61,14856.78,4,Delivered,No,8,3.4,20.2,Delhivery,Weather,No
ORD000012,2024-11-30,2024-12-14,CUST04741,SELL0281,East,Home,Debit Card,8812.79,133.68459231393717,7512.9,2,Cancelled,No,14,1.7,84.0,XpressBees,Incorrect Address,Yes
ORD000013,2025-08-11,2025-08-12,CUST01409,SELL0053,East,Electronics,UPI,10920.3,30.72,7565.58,2,Delivered,No,1,2.7,68.3,Ecom Express,None,Yes
ORD000014,2024-12-12,2024-12-13,CUST05969,SELL0329,West,Toys,COD,657.17,33.43,437.48,1,Delivered,No,1,4.0,30.1,XpressBees,Incorrect Address,Yes
ORD000015,2025-04-22,2025-04-28,CUST02316,SELL0420,South,Beauty,UPI,12614.04,0.57,12542.14,4,Delivered,No,6,2.6,81.8,XpressBees,Incorrect Address,No
ORD000016,2025-05-18,2025-05-28,CUST02871,SELL0344,East,Toys,Credit Card,3865.15,48.6,1986.69,3,Delivered,No,10,1.3,57.2,Delhivery,High Demand,Yes
ORD000017,2025-06-05,2025-06-09,CUST01839,SELL0043,West,Electronics,Wallet,5838.88,5.59,5512.49,4,Cancelled,No,4,2.6,72.7,BlueDart,Weather,Yes
ORD000018,2024-11-17,2024-11-22,CUST04778,SELL0175,East,Fashion,Debit Card,18367.31,12.76,16023.64,2,Delivered,No,5,3.6,58.3,Delhivery,Incorrect Address,Yes
ORD000019,2024-10-01,2024-10-07,CUST03672,SELL0334,North,Home,Wallet,17609.13,8.12,16179.27,3,Delivered,No,6,3.5,85.0,Shopee Express,Weather,Yes
ORD000020,2025-07-30,2025-08-03,CUST00819,SELL0118,West,Electronics,Debit Card,8727.34,5.73,8227.26,4,Delivered,No,4,1.7,2.0,Delhivery,High Demand,Yes
ORD000021,2024-09-26,2024-10-02,CUST03148,SELL0466,North,Fashion,Debit Card,4534.34,10.3,4067.3,2,Delivered,No,6,2.0,47.7,Ecom Express,Weather,Yes
ORD000022,2025-01-31,2025-02-01,CUST02759,SELL0010,North,Beauty,Credit Card,4708.75,23.43,3605.49,2,Delivered,No,1,3.6,85.6,BlueDart,Incorrect Address,Yes
ORD000023,2024-08-19,2024-08-23,CUST01109,SELL0035,South,Sports,COD,-50.0,28.8,12646.78,1,Delivered,No,4,1.4,1.8,BlueDart,High Demand,Yes
ORD000024,2025-04-10,2025-04-19,CUST00232,SELL0328,South,Toys,Credit Card,615.68,7.8,567.66,4,Delivered,No,9,2.3,53.1,Delhivery,Weather,Yes
ORD000025,2025-06-11,2025-06-23,CUST05281,SELL0303,South,Groceries,Wallet,18837.54,31.28,12945.16,2,Delivered,No,12,3.4,61.9,XpressBees,High Demand,Yes
ORD000026,2024-12-27,2025-01-07,CUST03962,SELL0277,North,Fashion,Wallet,8074.16,45.49,4401.22,1,Cancelled,No,11,2.0,4.5,Ecom Express,None,No
ORD000027,2025-01-25,2025-02-06,CUST03928,SELL0056,East,Electronics,UPI,10434.03,45.86,5648.98,1,Shipped,No,12,2.3,31.7,Delhivery,Weather,No
ORD000028,2024-12-16,2024-12-24,CUST02067,SELL0462,West,Home,Credit Card,10439.69,28.61,7452.89,4,Delivered,No,8,4.9,88.0,Shopee Express,Incorrect Address,Yes
ORD000029,2024-08-11,2024-08-17,CUST03310,SELL0497,East,Electronics,Wallet,15191.78,44.47,8436.0,3,Delivered,No,6,3.4,81.5,Ecom Express,None,No
ORD000030,2024-11-21,2024-11-26,CUST00410,SELL0381,East,Groceries,COD,6600.29,46.91,3504.09,4,Delivered,No,5,2.9,8.7,Shopee Express,Logistics Issue,No
ORD000031,2024-10-31,2024-11-05,CUST04177,SELL0103,East,Sports,Credit Card,6239.37,1.79,6127.69,1,Shipped,No,5,1.2,9.0,BlueDart,Incorrect Address,Yes
ORD000032,2025-03-11,2025-03-22,CUST01419,SELL0453,West,Electronics,UPI,9691.18,22.69,7492.25,3,Delivered,No,11,1.1,55.0,Ecom Express,Incorrect Address,No
ORD000033,2025-05-08,2025-05-21,CUST04002,SELL0012,West,Sports,Wallet,14568.7,34.6,9527.93,3,Shipped,No,13,2.1,34.9,Shopee Express,Logistics Issue,Yes
ORD000034,2025-03-04,2025-03-18,CUST01117,SELL0053,West,Beauty,Credit Card,12663.4,25.24,9467.16,1,Delivered,No,14,2.3,7.1,BlueDart,Logistics Issue,Yes
ORD000035,2025-02-02,2025-02-15,CUST01372,SELL0423,North,Fashion,UPI,19569.32,33.71,12972.5,3,Delivered,No,13,2.1,41.4,BlueDart,None,Yes
ORD000036,2025-08-19,2025-09-02,CUST04206,SELL0058,Weast,Electronics,Debit Card,17222.59,24.62,12982.39,2,Delivered,Yes,14,4.4,67.7,Ecom Express,None,Yes
