seller_id,seller_region,seller_rating,total_orders,avg_delivery_time_days,active_since
SELL0001,North,2.6,3134,2,2021
SELL0002,South,4.06,1376,1,2019
SELL0003,North,3.12,1412,2,2021
SELL0004,North,3.65,3847,9,2024
SELL0005,East,4.59,1385,7,2024
SELL0006,South,2.76,1479,1,2023
SELL0007,East,4.72,4752,3,2021
SELL0008,West,3.53,4770,5,2022
SELL0009,South,2.89,1414,7,2018
SELL0010,North,3.42,4803,4,2019
SELL0011,North,2.86,2804,9,2022
SELL0012,West,2.58,3511,9,2018
SELL0013,East,4.26,127,3,2022
SELL0014,West,3.97,4761,2,2023
SELL0015,South,2.84,2889,6,2023
SELL0016,South,3.73,344,7,2022
SELL0017,South,2.79,3292,3,2019
SELL0018,South,2.71,3979,2,2021
SELL0019,East,3.84,2367,9,2019
SELL0020,East,4.29,4581,2,2023
SELL0021,East,3.05,4687,5,2021
SELL0022,South,3.86,3941,6,2019
SELL0023,North,3.96,765,6,2022
SELL0024,South,3.51,653,5,2023
SELL0025,East,3.31,249,6,2023
SELL0026,East,2.9,2953,1,2022
SELL0027,West,3.1,1056,1,2022
SELL0028,North,3.81,3554,6,2024
SELL0029,North,3.05,184,6,2022
SELL0030,North,3.83,1516,5,2019
SELL0031,East,4.56,4191,7,2020
SELL0032,North,3.92,1372,5,2024
SELL0033,West,4.76,4518,7,2021
SELL0034,South,3.68,2865,5,2024
SELL0035,East,3.06,3749,6,2019
SELL0036,West,3.45,3766,9,2019
SELL0037,East,3.23,657,1,2018
SELL0038,South,4.97,1460,6,2024
SELL0039,North,2.77,1731,8,2023
SELL0040,North,4.52,2101,2,2023
SELL0041,East,4.13,2382,3,2022
SELL0042,West,3.12,4997,7,2021
SELL0043,South,4.38,1428,2,2021
SELL0044,North,4.52,4777,2,2021
SELL0045,North,2.58,2966,9,2022
SELL0046,West,2.59,4284,7,2024
SELL0047,West,4.81,622,4,2024
SELL0048,East,4.41,1009,6,2018
SELL0049,West,4.06,2660,8,2018
SELL0050,West,4.31,4576,9,2020
SELL0051,East,3.59,4591,1,2018
SELL0052,West,4.6,3197,2,2022
SELL0053,East,3.9,1253,3,2019
